from,to,type,name,oneway,length,source_feature
68,67,road,,unknown,1.372341461690896,33
69,70,road,,unknown,1.3803437241531025,34
70,69,road,,unknown,1.3803437241531025,34
71,72,road,,unknown,1.3754105959986822,35
72,71,road,,unknown,1.3754105959986822,35
73,74,road,,unknown,1.3778246949838595,36
74,73,road,,unknown,1.3778246949838595,36
75,76,road,,unknown,1.3801978272689062,37
76,75,road,,unknown,1.3801978272689062,37
77,78,road,,unknown,1.3810139149944174,38
78,77,road,,unknown,1.3810139149944174,38
73,80,road,,unknown,1.380224146636029,39
80,73,road,,unknown,1.380224146636029,39
81,82,road,,unknown,1.380392172472529,40
82,81,road,,unknown,1.380392172472529,40
83,84,road,,unknown,1.3802934250089327,41
84,83,road,,unknown,1.3802934250089327,41
85,86,road,,unknown,1.376585243819493,42
86,85,road,,unknown,1.376585243819493,42
87,88,road,,unknown,1.376986296042302,43
88,87,road,,unknown,1.376986296042302,43
33,90,road,,unknown,1.3770543530366939,44
90,33,road,,unknown,1.3770543530366939,44
91,92,road,,unknown,1.37697167807631,45
92,91,road,,unknown,1.37697167807631,45
93,94,road,,unknown,1.3800866199396848,46
94,93,road,,unknown,1.3800866199396848,46
51,96,road,,unknown,1.3763419248252364,47
96,51,road,,unknown,1.3763419248252364,47
97,98,road,,unknown,1.3764307071639654,48
98,97,road,,unknown,1.3764307071639654,48
99,100,road,,unknown,1.3809491880142186,49
100,99,road,,unknown,1.3809491880142186,49
101,102,road,,unknown,1.3810755729911968,50
102,101,road,,unknown,1.3810755729911968,50
103,104,road,,unknown,1.3810743604433289,51
104,103,road,,unknown,1.3810743604433289,51
105,106,road,,unknown,1.3810456876920658,52
106,105,road,,unknown,1.3810456876920658,52
107,108,road,,unknown,1.3803761957841763,53
108,107,road,,unknown,1.3803761957841763,53
109,110,road,,unknown,1.3823941520082939,54
110,109,road,,unknown,1.3823941520082939,54
111,112,road,,unknown,1.3778477634178439,55
112,111,road,,unknown,1.3778477634178439,55
113,114,road,,unknown,1.3786028828830814,56
114,113,road,,unknown,1.3786028828830814,56
115,116,road,,unknown,1.3766321898781935,57
116,115,road,,unknown,1.3766321898781935,57
117,118,road,,unknown,1.3818111274441505,58
118,117,road,,unknown,1.3818111274441505,58
119,120,road,,unknown,1.380030622843848,59
120,119,road,,unknown,1.380030622843848,59
121,122,road,,unknown,1.3743439662377246,60
122,121,road,,unknown,1.3743439662377246,60
123,124,road,,unknown,1.3794713186060357,61
124,123,road,,unknown,1.3794713186060357,61
125,126,road,,unknown,1.3806170896767154,62
126,125,road,,unknown,1.3806170896767154,62
125,128,road,,unknown,1.378293624077617,63
128,125,road,,unknown,1.378293624077617,63
129,130,road,,unknown,1.3790368023312831,64
130,129,road,,unknown,1.3790368023312831,64
93,132,road,,unknown,1.3753050159536184,65
132,93,road,,unknown,1.3753050159536184,65
133,134,road,,unknown,1.3736024875865984,66
134,133,road,,unknown,1.3736024875865984,66
31,136,road,,unknown,1.3732882129707111,67
136,31,road,,unknown,1.3732882129707111,67
137,138,road,,unknown,1.3771142693899079,68
138,137,road,,unknown,1.3771142693899079,68
139,140,road,,unknown,1.3735132692894774,69
140,139,road,,unknown,1.3735132692894774,69
141,142,road,,unknown,1.3770388935709896,70
142,141,road,,unknown,1.3770388935709896,70
141,144,road,,unknown,1.3726696672957284,71
144,141,road,,unknown,1.3726696672957284,71
145,146,road,,unknown,1.376163289023358,72
146,145,road,,unknown,1.376163289023358,72
147,148,road,,unknown,1.3797017585373765,73
148,147,road,,unknown,1.3797017585373765,73
149,150,road,,unknown,1.3794242124978027,74
150,149,road,,unknown,1.3794242124978027,74
151,152,road,,unknown,1.380983061819621,75
152,151,road,,unknown,1.380983061819621,75
153,154,road,,unknown,1.3781221261032033,76
154,153,road,,unknown,1.3781221261032033,76
155,156,road,,unknown,1.3777674370442554,77
156,155,road,,unknown,1.3777674370442554,77
157,158,road,,unknown,1.380992432881784,78
158,157,road,,unknown,1.380992432881784,78
159,160,road,,unknown,1.3791270342205924,79
160,159,road,,unknown,1.3791270342205924,79
161,162,road,,unknown,1.378939832680174,80
162,161,road,,unknown,1.378939832680174,80
163,164,road,,unknown,1.3722854033940863,81
164,163,road,,unknown,1.3722854033940863,81
165,166,road,,unknown,1.3737359394685598,82
166,165,road,,unknown,1.3737359394685598,82
15,170,road,,unknown,24.338348997386944,83
170,15,road,,unknown,24.338348997386944,83
171,172,road,,unknown,1.37761193671713,84
172,171,road,,unknown,1.37761193671713,84
173,174,road,,unknown,1.380121460545725,85
174,173,road,,unknown,1.380121460545725,85
175,176,road,,unknown,1.379996103543975,86
176,175,road,,unknown,1.379996103543975,86
177,178,road,,unknown,1.3795252552840203,87
178,177,road,,unknown,1.3795252552840203,87
179,180,road,,unknown,1.3766581516786798,88
180,179,road,,unknown,1.3766581516786798,88
181,182,road,,unknown,1.3772644938725476,89
182,181,road,,unknown,1.3772644938725476,89
183,184,road,,unknown,1.3763251746954206,90
184,183,road,,unknown,1.3763251746954206,90
185,186,road,,unknown,1.3766627712255777,91
186,185,road,,unknown,1.3766627712255777,91
187,188,road,,unknown,1.3778552285153,92
188,187,road,,unknown,1.3778552285153,92
189,190,road,,unknown,1.374704161323145,93
190,189,road,,unknown,1.374704161323145,93
191,192,road,,unknown,1.3722692530867087,94
192,191,road,,unknown,1.3722692530867087,94
193,194,road,,unknown,0.1562681403667855,95
194,193,road,,unknown,0.1562681403667855,95
195,196,road,,unknown,1.3755497449291916,96
196,195,road,,unknown,1.3755497449291916,96
197,198,road,,unknown,1.3740902607843286,97
198,197,road,,unknown,1.3740902607843286,97
199,200,road,,unknown,1.3780657919874877,98
200,199,road,,unknown,1.3780657919874877,98
201,202,road,,unknown,1.3778359037032872,99
202,201,road,,unknown,1.3778359037032872,99
203,204,road,,unknown,1.0196948641953072,100
204,203,road,,unknown,1.0196948641953072,100
205,206,road,,unknown,1.378309092849634,101
206,205,road,,unknown,1.378309092849634,101
207,208,road,,unknown,1.3788694068367788,102
208,207,road,,unknown,1.3788694068367788,102
209,210,road,,unknown,1.3771749951754537,103
210,209,road,,unknown,1.3771749951754537,103
211,212,road,,unknown,1.378009947537986,104
212,211,road,,unknown,1.378009947537986,104
213,214,road,,unknown,1.3771234019347578,105
214,213,road,,unknown,1.3771234019347578,105
215,216,road,,unknown,1.3790496681518511,106
216,215,road,,unknown,1.3790496681518511,106
213,218,road,,unknown,1.3786896547757976,107
218,213,road,,unknown,1.3786896547757976,107
215,220,road,,unknown,1.3810596069309236,108
220,215,road,,unknown,1.3810596069309236,108
197,222,road,,unknown,1.3788380843439456,109
222,197,road,,unknown,1.3788380843439456,109
223,224,road,,unknown,1.3800576470023238,110
224,223,road,,unknown,1.3800576470023238,110
225,226,road,,unknown,1.3778085013807866,111
226,225,road,,unknown,1.3778085013807866,111
223,228,road,,unknown,1.3772714075978425,112
228,223,road,,unknown,1.3772714075978425,112
209,230,road,,unknown,1.3783371878131885,113
230,209,road,,unknown,1.3783371878131885,113
157,232,road,,unknown,1.3771518459098484,114
232,157,road,,unknown,1.3771518459098484,114
233,234,road,,unknown,1.3790719398943347,115
234,233,road,,unknown,1.3790719398943347,115
235,236,road,,unknown,1.380398564988843,116
236,235,road,,unknown,1.380398564988843,116
237,238,road,,unknown,1.379166708012018,117
238,237,road,,unknown,1.379166708012018,117
239,240,road,,unknown,1.3745782218882587,118
240,239,road,,unknown,1.3745782218882587,118
241,242,road,,unknown,1.3768075726948892,119
242,241,road,,unknown,1.3768075726948892,119
243,244,road,,unknown,1.376235971816592,120
244,243,road,,unknown,1.376235971816592,120
245,246,road,,unknown,1.3764553907387334,121
246,245,road,,unknown,1.3764553907387334,121
247,248,road,,unknown,0.5848915499836163,122
248,247,road,,unknown,0.5848915499836163,122
249,250,road,,unknown,1.3717896626603563,123
250,249,road,,unknown,1.3717896626603563,123
189,252,road,,unknown,1.3769063537562232,124
252,189,road,,unknown,1.3769063537562232,124
185,254,road,,unknown,1.3778165918008385,125
254,185,road,,unknown,1.3778165918008385,125
241,256,road,,unknown,1.378259576759975,126
256,241,road,,unknown,1.378259576759975,126
257,258,road,,unknown,1.3785896241507165,127
258,257,road,,unknown,1.3785896241507165,127
249,260,road,,unknown,1.3741434042660996,128
260,249,road,,unknown,1.3741434042660996,128
261,262,road,,unknown,1.3810210598732169,129
262,261,road,,unknown,1.3810210598732169,129
263,264,road,,unknown,0.9263303110388238,130
264,263,road,,unknown,0.9263303110388238,130
265,266,road,,unknown,1.379200813136493,131
266,265,road,,unknown,1.379200813136493,131
267,268,road,,unknown,1.3764383122436166,132
268,267,road,,unknown,1.3764383122436166,132
269,270,road,,unknown,1.3802701435463158,133
270,269,road,,unknown,1.3802701435463158,133
271,272,road,,unknown,1.3802415241965262,134
272,271,road,,unknown,1.3802415241965262,134
147,274,road,,unknown,1.3797870693334486,135
274,147,road,,unknown,1.3797870693334486,135
275,276,road,,unknown,1.3798322384074908,136
276,275,road,,unknown,1.3798322384074908,136
277,278,road,,unknown,1.380362329558195,137
278,277,road,,unknown,1.380362329558195,137
279,280,road,,unknown,1.373722195886946,138
280,279,road,,unknown,1.373722195886946,138
281,282,road,,unknown,1.3736911660253965,139
282,281,road,,unknown,1.3736911660253965,139
283,284,road,,unknown,1.3787289818954802,140
284,283,road,,unknown,1.3787289818954802,140
285,286,road,,unknown,1.3776222457238458,141
286,285,road,,unknown,1.3776222457238458,141
287,288,road,,unknown,0.955291856971061,142
288,287,road,,unknown,0.955291856971061,142
289,290,road,,unknown,1.3777570269956647,143
290,289,road,,unknown,1.3777570269956647,143
291,292,road,,unknown,1.3769749810474,144
292,291,road,,unknown,1.3769749810474,144
293,294,road,,unknown,1.3789817148125025,145
294,293,road,,unknown,1.3789817148125025,145
295,296,road,,unknown,1.3757779759196302,146
296,295,road,,unknown,1.3757779759196302,146
297,298,road,,unknown,1.3782509276611097,147
298,297,road,,unknown,1.3782509276611097,147
299,300,road,,unknown,1.372666928333296,148
300,299,road,,unknown,1.372666928333296,148
301,302,road,,unknown,1.3779111296004607,149
302,301,road,,unknown,1.3779111296004607,149
303,304,road,,unknown,1.3770960802723489,150
304,303,road,,unknown,1.3770960802723489,150
305,306,road,,unknown,1.3756972350374836,151
306,305,road,,unknown,1.3756972350374836,151
307,308,road,,unknown,1.3716279353153522,152
308,307,road,,unknown,1.3716279353153522,152
309,310,road,,unknown,1.3715859368116181,153
310,309,road,,unknown,1.3715859368116181,153
311,312,road,,unknown,1.3730478168241131,154
312,311,road,,unknown,1.3730478168241131,154
313,314,road,,unknown,1.3763804123583248,155
314,313,road,,unknown,1.3763804123583248,155
315,316,road,,unknown,1.3760133433360728,156
316,315,road,,unknown,1.3760133433360728,156
317,318,road,,unknown,1.3743506746377367,157
318,317,road,,unknown,1.3743506746377367,157
319,320,road,,unknown,1.374629816402448,158
320,319,road,,unknown,1.374629816402448,158
321,322,road,,unknown,1.3738605780185473,159
322,321,road,,unknown,1.3738605780185473,159
323,324,road,,unknown,1.3778403494364027,160
324,323,road,,unknown,1.3778403494364027,160
325,326,road,,unknown,1.3783782206974902,161
326,325,road,,unknown,1.3783782206974902,161
327,328,road,,unknown,1.3781261291888696,162
328,327,road,,unknown,1.3781261291888696,162
329,330,road,,unknown,1.380327826994511,163
330,329,road,,unknown,1.380327826994511,163
331,332,road,,unknown,1.379312574477368,164
332,331,road,,unknown,1.379312574477368,164
333,334,road,,unknown,1.3807991142229392,165
334,333,road,,unknown,1.3807991142229392,165
170,338,road,,unknown,22.441911582667483,166
338,170,road,,unknown,22.441911582667483,166
338,340,road,,unknown,9.729894662331215,167
340,338,road,,unknown,9.729894662331215,167
340,319,road,,unknown,5.043219656544508,168
319,340,road,,unknown,5.043219656544508,168
319,1,road,,unknown,45.80057213844651,169
1,319,road,,unknown,45.80057213844651,169
1,352,road,,unknown,24.313867869526256,170
352,1,road,,unknown,24.313867869526256,170
352,55,road,,unknown,18.024063293925618,171
55,352,road,,unknown,18.024063293925618,171
55,357,road,,unknown,11.4294938232245,172
357,55,road,,unknown,11.4294938232245,172
357,359,road,,unknown,5.96907871714477,173
359,357,road,,unknown,5.96907871714477,173
360,15,road,,unknown,27.24094756677183,174
15,360,road,,unknown,27.24094756677183,174
364,365,road,,unknown,1.3719173486730507,175
365,364,road,,unknown,1.3719173486730507,175
117,367,road,,unknown,1.3790477270629795,176
367,117,road,,unknown,1.3790477270629795,176
121,369,road,,unknown,1.3753619676621067,177
369,121,road,,unknown,1.3753619676621067,177
370,371,road,,unknown,1.374073466478744,178
371,370,road,,unknown,1.374073466478744,178
372,373,road,,unknown,1.380071656343007,179
373,372,road,,unknown,1.380071656343007,179
374,375,road,,unknown,1.3802348898558985,180
375,374,road,,unknown,1.3802348898558985,180
376,377,road,,unknown,0.7939363076429679,181
377,376,road,,unknown,0.7939363076429679,181
237,379,road,,unknown,1.3776125720848342,182
379,237,road,,unknown,1.3776125720848342,182
380,381,road,,unknown,1.378160906719716,183
381,380,road,,unknown,1.378160906719716,183
382,383,road,,unknown,1.3758798841774724,184
383,382,road,,unknown,1.3758798841774724,184
384,385,road,,unknown,0.26130007010176964,185
385,384,road,,unknown,0.26130007010176964,185
386,387,road,,unknown,1.379460345211226,186
387,386,road,,unknown,1.379460345211226,186
386,389,road,,unknown,1.3787257733074776,187
389,386,road,,unknown,1.3787257733074776,187
390,391,road,,unknown,1.3767267908587029,188
391,390,road,,unknown,1.3767267908587029,188
392,393,road,,unknown,1.3716598198853194,189
393,392,road,,unknown,1.3716598198853194,189
394,395,road,,unknown,1.3759001739672483,190
395,394,road,,unknown,1.3759001739672483,190
43,397,road,,unknown,1.3743349459965126,191
397,43,road,,unknown,1.3743349459965126,191
398,399,road,,unknown,1.372132396156652,192
399,398,road,,unknown,1.372132396156652,192
11,401,road,,unknown,1.3774975370137774,193
401,11,road,,unknown,1.3774975370137774,193
3,403,road,,unknown,1.3760775050286218,194
403,3,road,,unknown,1.3760775050286218,194
179,405,road,,unknown,1.3827817951470276,195
405,179,road,,unknown,1.3827817951470276,195
406,407,road,,unknown,1.3743678226099665,196
407,406,road,,unknown,1.3743678226099665,196
275,409,road,,unknown,1.3757813393173786,197
409,275,road,,unknown,1.3757813393173786,197
410,411,road,,unknown,1.3759841507227812,198
411,410,road,,unknown,1.3759841507227812,198
331,413,road,,unknown,1.3783921952692304,199
413,331,road,,unknown,1.3783921952692304,199
414,415,road,,unknown,1.378215210641257,200
415,414,road,,unknown,1.378215210641257,200
416,417,road,,unknown,1.37678650947096,201
417,416,road,,unknown,1.37678650947096,201
418,419,road,,unknown,1.3743520087275989,202
419,418,road,,unknown,1.3743520087275989,202
420,421,road,,unknown,1.3768036144890003,203
421,420,road,,unknown,1.3768036144890003,203
422,423,road,,unknown,1.3767803110241954,204
423,422,road,,unknown,1.3767803110241954,204
333,425,road,,unknown,1.3756572802600533,205
425,333,road,,unknown,1.3756572802600533,205
426,427,road,,unknown,1.3791914944674886,206
427,426,road,,unknown,1.3791914944674886,206
428,429,road,,unknown,1.3815535924320757,207
429,428,road,,unknown,1.3815535924320757,207
57,431,road,,unknown,1.3783127877270471,208
431,57,road,,unknown,1.3783127877270471,208
279,433,road,,unknown,1.3780148587215673,209
433,279,road,,unknown,1.3780148587215673,209
315,435,road,,unknown,1.3809465833047383,210
435,315,road,,unknown,1.3809465833047383,210
436,437,road,,unknown,1.378167689862165,211
437,436,road,,unknown,1.378167689862165,211
325,439,road,,unknown,1.3781754759591764,212
439,325,road,,unknown,1.3781754759591764,212
440,441,road,,unknown,1.380204581691528,213
441,440,road,,unknown,1.380204581691528,213
323,443,road,,unknown,1.379487816913081,214
443,323,road,,unknown,1.379487816913081,214
444,445,road,,unknown,1.3791204855203418,215
445,444,road,,unknown,1.3791204855203418,215
49,447,road,,unknown,1.3794872024403373,216
447,49,road,,unknown,1.3794872024403373,216
448,449,road,,unknown,1.3769669401217384,217
449,448,road,,unknown,1.3769669401217384,217
450,451,road,,unknown,1.3784284996728051,218
451,450,road,,unknown,1.3784284996728051,218
452,453,road,,unknown,1.3715966886657018,219
453,452,road,,unknown,1.3715966886657018,219
454,455,road,,unknown,1.37888769860352,220
455,454,road,,unknown,1.37888769860352,220
261,457,road,,unknown,1.372238798682087,221
457,261,road,,unknown,1.372238798682087,221
458,459,road,,unknown,1.3722314117168648,222
459,458,road,,unknown,1.3722314117168648,222
460,461,road,,unknown,1.3728437904804078,223
461,460,road,,unknown,1.3728437904804078,223
462,463,road,,unknown,1.3803322447455628,224
463,462,road,,unknown,1.3803322447455628,224
454,465,road,,unknown,1.3800726474578304,225
465,454,road,,unknown,1.3800726474578304,225
466,467,road,,unknown,1.3800851871401383,226
467,466,road,,unknown,1.3800851871401383,226
468,469,road,,unknown,1.3785632985951588,227
469,468,road,,unknown,1.3785632985951588,227
267,471,road,,unknown,1.3784683376958833,228
471,267,road,,unknown,1.3784683376958833,228
394,473,road,,unknown,1.3768859823359358,229
473,394,road,,unknown,1.3768859823359358,229
41,475,road,,unknown,1.374732699002347,230
475,41,road,,unknown,1.374732699002347,230
476,477,road,,unknown,1.378753862086676,231
477,476,road,,unknown,1.378753862086676,231
478,479,road,,unknown,1.3787644328350181,232
479,478,road,,unknown,1.3787644328350181,232
480,481,road,,unknown,1.3787631000515232,233
481,480,road,,unknown,1.3787631000515232,233
482,483,road,,unknown,1.3787123183280887,234
483,482,road,,unknown,1.3787123183280887,234
484,485,road,,unknown,1.3777891326396132,235
485,484,road,,unknown,1.3777891326396132,235
486,487,road,,unknown,1.3777564762570365,236
487,486,road,,unknown,1.3777564762570365,236
488,489,road,,unknown,1.3778522093109153,237
489,488,road,,unknown,1.3778522093109153,237
490,491,road,,unknown,1.3777527412161006,238
491,490,road,,unknown,1.3777527412161006,238
289,493,road,,unknown,1.3762846734948349,239
493,289,road,,unknown,1.3762846734948349,239
488,495,road,,unknown,1.3792047609660547,240
495,488,road,,unknown,1.3792047609660547,240
496,497,road,,unknown,1.3774928024492037,241
497,496,road,,unknown,1.3774928024492037,241
99,499,road,,unknown,1.3783244767662028,242
499,99,road,,unknown,1.3783244767662028,242
500,501,road,,unknown,1.3792982501549265,243
501,500,road,,unknown,1.3792982501549265,243
502,503,road,,unknown,1.3793661576581921,244
503,502,road,,unknown,1.3793661576581921,244
504,505,road,,unknown,1.3793953933430352,245
505,504,road,,unknown,1.3793953933430352,245
506,507,road,,unknown,1.3793337153227598,246
507,506,road,,unknown,1.3793337153227598,246
508,509,road,,unknown,1.3778261957524573,247
509,508,road,,unknown,1.3778261957524573,247
35,511,road,,unknown,1.3776106962814516,248
511,35,road,,unknown,1.3776106962814516,248
59,513,road,,unknown,1.3763956637054626,249
513,59,road,,unknown,1.3763956637054626,249
514,515,road,,unknown,1.379877656415378,250
515,514,road,,unknown,1.379877656415378,250
516,517,road,,unknown,1.3798656985281899,251
517,516,road,,unknown,1.3798656985281899,251
518,519,road,,unknown,1.3777421735197264,252
519,518,road,,unknown,1.3777421735197264,252
520,521,road,,unknown,1.3784727825247536,253
521,520,road,,unknown,1.3784727825247536,253
522,523,road,,unknown,1.3803135641693784,254
523,522,road,,unknown,1.3803135641693784,254
524,525,road,,unknown,1.3807281421290836,255
525,524,road,,unknown,1.3807281421290836,255
526,527,road,,unknown,1.3784063572602911,256
527,526,road,,unknown,1.3784063572602911,256
151,529,road,,unknown,1.377820745903879,257
529,151,road,,unknown,1.377820745903879,257
530,531,road,,unknown,1.3779739191996672,258
531,530,road,,unknown,1.3779739191996672,258
532,533,road,,unknown,1.3717044270348666,259
533,532,road,,unknown,1.3717044270348666,259
534,535,road,,unknown,1.3794859724380666,260
535,534,road,,unknown,1.3794859724380666,260
536,537,road,,unknown,1.3755984347753225,261
537,536,road,,unknown,1.3755984347753225,261
538,539,road,,unknown,1.3796616505999169,262
539,538,road,,unknown,1.3796616505999169,262
540,541,road,,unknown,1.378210877146607,263
541,540,road,,unknown,1.378210877146607,263
542,543,road,,unknown,1.3781653918221475,264
543,542,road,,unknown,1.3781653918221475,264
544,545,road,,unknown,1.3770003077483581,265
545,544,road,,unknown,1.3770003077483581,265
546,547,road,,unknown,1.3811194759146812,266
547,546,road,,unknown,1.3811194759146812,266
548,549,road,,unknown,1.3789635923605128,267
549,548,road,,unknown,1.3789635923605128,267
550,551,road,,unknown,1.3789147751492667,268
551,550,road,,unknown,1.3789147751492667,268
552,553,road,,unknown,1.3758795681622342,269
553,552,road,,unknown,1.3758795681622342,269
554,555,road,,unknown,1.3772692822123238,270
555,554,road,,unknown,1.3772692822123238,270
544,557,road,,unknown,1.376506188452125,271
557,544,road,,unknown,1.376506188452125,271
558,559,road,,unknown,1.376898514599638,272
559,558,road,,unknown,1.376898514599638,272
71,561,road,,unknown,1.3765721746573483,273
561,71,road,,unknown,1.3765721746573483,273
522,563,road,,unknown,1.3768459722696365,274
563,522,road,,unknown,1.3768459722696365,274
548,565,road,,unknown,1.3779443863850116,275
565,548,road,,unknown,1.3779443863850116,275
233,567,road,,unknown,1.316963858323013,276
567,233,road,,unknown,1.316963858323013,276
568,569,road,,unknown,0.7311820121821977,277
569,568,road,,unknown,0.7311820121821977,277
235,571,road,,unknown,1.377438792785953,278
571,235,road,,unknown,1.377438792785953,278
550,573,road,,unknown,1.3777081733255605,279
573,550,road,,unknown,1.3777081733255605,279
574,575,road,,unknown,1.3777170697475216,280
575,574,road,,unknown,1.3777170697475216,280
69,577,road,,unknown,1.3777562289370622,281
577,69,road,,unknown,1.3777562289370622,281
526,579,road,,unknown,1.3778333550519133,282
579,526,road,,unknown,1.3778333550519133,282
540,581,road,,unknown,1.3776747115020338,283
581,540,road,,unknown,1.3776747115020338,283
582,583,road,,unknown,1.3786868943207649,284
583,582,road,,unknown,1.3786868943207649,284
436,585,road,,unknown,1.377411045157687,285
585,436,road,,unknown,1.377411045157687,285
586,587,road,,unknown,1.3781815531487678,286
587,586,road,,unknown,1.3781815531487678,286
588,589,road,,unknown,1.3775105391640596,287
589,588,road,,unknown,1.3775105391640596,287
590,591,road,,unknown,1.3790714001054836,288
591,590,road,,unknown,1.3790714001054836,288
592,593,road,,unknown,1.378820387977,289
593,592,road,,unknown,1.378820387977,289
422,595,road,,unknown,1.3782778754849354,290
595,422,road,,unknown,1.3782778754849354,290
596,597,road,,unknown,1.380042210285794,291
597,596,road,,unknown,1.380042210285794,291
598,599,road,,unknown,1.380308865760121,292
599,598,road,,unknown,1.380308865760121,292
600,601,road,,unknown,1.3789205175439783,293
601,600,road,,unknown,1.3789205175439783,293
410,603,road,,unknown,1.3773837239364333,294
603,410,road,,unknown,1.3773837239364333,294
458,605,road,,unknown,1.3790675968839896,295
605,458,road,,unknown,1.3790675968839896,295
590,607,road,,unknown,1.3775807160356204,296
607,590,road,,unknown,1.3775807160356204,296
109,609,road,,unknown,1.3800017015778574,297
609,109,road,,unknown,1.3800017015778574,297
448,611,road,,unknown,1.3799930501466888,298
611,448,road,,unknown,1.3799930501466888,298
612,613,road,,unknown,1.3778677879028718,299
613,612,road,,unknown,1.3778677879028718,299
416,615,road,,unknown,1.3805250050626372,300
615,416,road,,unknown,1.3805250050626372,300
616,617,road,,unknown,1.3805712476407779,301
617,616,road,,unknown,1.3805712476407779,301
420,619,road,,unknown,1.3787244898374067,302
619,420,road,,unknown,1.3787244898374067,302
620,621,road,,unknown,1.378719125752459,303
621,620,road,,unknown,1.378719125752459,303
622,623,road,,unknown,1.379031652196265,304
623,622,road,,unknown,1.379031652196265,304
624,625,road,,unknown,1.3795795487134535,305
625,624,road,,unknown,1.3795795487134535,305
245,627,road,,unknown,1.3737419308106984,306
627,245,road,,unknown,1.3737419308106984,306
628,629,road,,unknown,1.378923873072432,307
629,628,road,,unknown,1.378923873072432,307
630,631,road,,unknown,1.3721227108501848,308
631,630,road,,unknown,1.3721227108501848,308
67,633,road,,unknown,1.378127273311548,309
633,67,road,,unknown,1.378127273311548,309
279,635,road,,unknown,1.3753860921508223,310
635,279,road,,unknown,1.3753860921508223,310
313,637,road,,unknown,1.3720765281325573,311
637,313,road,,unknown,1.3720765281325573,311
359,639,road,,unknown,1.3747659432365962,312
639,359,road,,unknown,1.3747659432365962,312
640,641,road,,unknown,1.3746910151523777,313
641,640,road,,unknown,1.3746910151523777,313
642,643,road,,unknown,1.3747645712537084,314
643,642,road,,unknown,1.3747645712537084,314
644,645,road,,unknown,1.3731143787295705,315
645,644,road,,unknown,1.3731143787295705,315
646,647,road,,unknown,1.379375982055376,316
647,646,road,,unknown,1.379375982055376,316
648,649,road,,unknown,1.3776906767148778,317
649,648,road,,unknown,1.3776906767148778,317
359,360,road,,unknown,17.107266709356352,318
360,359,road,,unknown,17.107266709356352,318
653,654,road,,unknown,1.378954521282746,319
654,653,road,,unknown,1.378954521282746,319
646,656,road,,unknown,1.3769984487421099,320
